Drug,Demand_Forecast,Optimal_Stock_Level,Restocking_Strategy
Metformin,4748,8968,Monthly
Metformin,6622,5321,Monthly
Atorvastatin,1709,6654,Monthly
Metformin,1393,8973,Monthly
Atorvastatin,7085,3281,Weekly
Lisinopril,3266,7543,Quarterly
Metformin,1758,10358,Monthly
Metformin,3226,5886,Monthly
Atorvastatin,6692,3257,Weekly
Insulin,9704,4795,Quarterly
Atorvastatin,5073,5575,Quarterly
Metformin,6620,6404,Quarterly
Metformin,4930,10293,Monthly
Atorvastatin,3317,1651,Quarterly
Lisinopril,4584,4561,Weekly
Insulin,7106,8998,Monthly
Atorvastatin,3127,9860,Monthly
Metformin,6426,7406,Weekly
Lisinopril,2722,2638,Quarterly
Insulin,6745,8519,Weekly
Insulin,6489,5733,Monthly
Lisinopril,2867,6402,Quarterly
Lisinopril,7066,2861,Quarterly
Metformin,6671,7998,Weekly
Insulin,7039,3633,Monthly
Atorvastatin,4461,1953,Weekly
Atorvastatin,4649,5190,Quarterly
Insulin,9290,10455,Monthly
Lisinopril,5611,4848,Quarterly
Lisinopril,9070,4989,Weekly
Lisinopril,9602,7562,Quarterly
Insulin,8607,9070,Monthly
Metformin,4080,10311,Weekly
Lisinopril,1766,2471,Weekly
Lisinopril,6935,9795,Monthly
Lisinopril,3933,3480,Quarterly
Insulin,8322,7838,Quarterly
Lisinopril,3825,9258,Monthly
Atorvastatin,8804,5287,Monthly
Atorvastatin,4705,6030,Monthly
Insulin,2692,6343,Quarterly
Lisinopril,2063,8248,Monthly
Metformin,7819,6261,Quarterly
Atorvastatin,3551,3659,Quarterly
Metformin,2560,7785,Quarterly
Insulin,2038,7260,Monthly
Metformin,8497,2162,Quarterly
Lisinopril,4089,1542,Weekly
Insulin,8367,6202,Quarterly
Lisinopril,2920,3248,Weekly
Metformin,4490,8245,Quarterly
Metformin,2719,8793,Weekly
Insulin,8527,9496,Monthly
Atorvastatin,3093,4937,Quarterly
Insulin,1361,7892,Weekly
Metformin,3617,7757,Monthly
Metformin,3570,4799,Weekly
Insulin,9878,6395,Quarterly
Atorvastatin,1808,8756,Monthly
Metformin,4028,7766,Weekly
Metformin,8036,3898,Monthly
Metformin,2114,4667,Quarterly
Metformin,9052,8162,Quarterly
Insulin,6390,4192,Quarterly
Metformin,6463,10432,Quarterly
Lisinopril,7770,10299,Weekly
Insulin,9492,3434,Quarterly
Insulin,3859,10993,Quarterly
Atorvastatin,1744,8016,Monthly
Metformin,5961,9492,Weekly
Insulin,5120,4443,Quarterly
Insulin,4131,7385,Monthly
Atorvastatin,8017,7037,Quarterly
Insulin,5336,9646,Quarterly
Atorvastatin,1639,6598,Weekly
Lisinopril,9718,10582,Quarterly
Atorvastatin,2412,3128,Weekly
Insulin,4350,9856,Weekly
Insulin,5546,6789,Quarterly
Atorvastatin,8910,1747,Monthly
Lisinopril,6704,5809,Weekly
Atorvastatin,1871,5118,Monthly
Metformin,1165,7924,Quarterly
Metformin,1932,7158,Quarterly
Metformin,6908,9378,Monthly
Metformin,6997,7314,Monthly
Lisinopril,9128,9499,Quarterly
Metformin,3731,6688,Weekly
Metformin,7637,9676,Monthly
Atorvastatin,4278,8816,Quarterly
Lisinopril,2510,9294,Monthly
Insulin,3102,9568,Quarterly
Metformin,3440,6949,Weekly
Metformin,6287,6177,Monthly
Lisinopril,9641,9964,Weekly
Insulin,3202,10184,Monthly
Atorvastatin,2588,10385,Quarterly
Metformin,2879,10086,Quarterly
Atorvastatin,5203,10849,Weekly
Insulin,9481,8051,Monthly
Lisinopril,8131,5027,Monthly
Atorvastatin,1708,3351,Monthly
Lisinopril,8413,2391,Quarterly
Lisinopril,6886,3286,Quarterly
Lisinopril,2480,6554,Quarterly
Lisinopril,3653,10321,Monthly
Lisinopril,3029,7472,Quarterly
Insulin,5107,3776,Monthly
Lisinopril,3500,6575,Quarterly
Lisinopril,5047,5840,Weekly
Lisinopril,4288,6454,Monthly
Atorvastatin,1977,5879,Quarterly
Atorvastatin,2386,7069,Monthly
Metformin,7378,8382,Quarterly
Lisinopril,7981,8583,Quarterly
Insulin,1734,8276,Monthly
Atorvastatin,3586,2729,Monthly
Metformin,5262,6293,Quarterly
Metformin,2605,6294,Monthly
Lisinopril,1498,9847,Monthly
Lisinopril,6655,4854,Quarterly
Lisinopril,8728,2857,Monthly
Metformin,2469,7400,Weekly
Lisinopril,7724,7427,Weekly
Metformin,8244,4119,Weekly
Metformin,2058,10960,Monthly
Insulin,8496,10989,Quarterly
Lisinopril,4672,5672,Weekly
Atorvastatin,4309,5739,Quarterly
Insulin,6420,8227,Weekly
Insulin,8000,5314,Monthly
Atorvastatin,4004,10514,Quarterly
Atorvastatin,8940,4826,Weekly
Insulin,3359,1982,Monthly
Lisinopril,4392,5299,Weekly
Metformin,9436,7139,Weekly
Insulin,2286,4386,Monthly
Insulin,8742,4192,Monthly
Insulin,2914,5536,Weekly
Insulin,6266,2190,Quarterly
Lisinopril,3781,7948,Monthly
Metformin,7265,5085,Monthly
Insulin,1928,4817,Monthly
Atorvastatin,6968,2211,Weekly
Insulin,7131,8665,Weekly
Atorvastatin,9891,7560,Monthly
Insulin,5347,9477,Weekly
Atorvastatin,4054,7637,Weekly
Metformin,4958,1754,Weekly
Metformin,9516,6690,Weekly
Lisinopril,7863,4891,Quarterly
Lisinopril,4179,5520,Weekly
Insulin,5354,7501,Weekly
Atorvastatin,2798,7721,Quarterly
Atorvastatin,4956,7730,Quarterly
Atorvastatin,5144,4409,Weekly
Insulin,3408,9416,Monthly
Metformin,1667,6957,Monthly
Lisinopril,2468,10418,Quarterly
Atorvastatin,6761,5222,Monthly
Metformin,7634,4908,Quarterly
Lisinopril,7071,4707,Quarterly
Metformin,3638,8797,Weekly
Insulin,7492,6732,Quarterly
Metformin,2458,10482,Weekly
Insulin,2090,5305,Weekly
Metformin,1368,10572,Monthly
Metformin,8704,5814,Weekly
Insulin,2794,2735,Quarterly
Insulin,7678,3980,Quarterly
Lisinopril,5449,6672,Weekly
Insulin,8329,4337,Quarterly
Lisinopril,1518,9494,Weekly
Atorvastatin,4702,4400,Quarterly
Atorvastatin,9668,8081,Weekly
Atorvastatin,7166,7655,Quarterly
Insulin,3238,9622,Quarterly
Insulin,5121,7317,Weekly
Insulin,1151,3792,Weekly
Lisinopril,8358,10801,Monthly
Atorvastatin,5533,2250,Quarterly
Atorvastatin,6152,9742,Monthly
Atorvastatin,2529,9398,Quarterly
Atorvastatin,9494,3352,Monthly
Lisinopril,2448,7481,Monthly
Metformin,1530,6612,Weekly
Insulin,1727,4618,Quarterly
Lisinopril,6218,6224,Weekly
Atorvastatin,6463,10417,Quarterly
Atorvastatin,1744,5702,Quarterly
Metformin,1174,2389,Monthly
Lisinopril,4507,3907,Monthly
Insulin,6016,6927,Weekly
Insulin,9733,2541,Monthly
Insulin,5200,9729,Weekly
Insulin,2229,2655,Quarterly
Insulin,9912,4695,Weekly
Atorvastatin,2974,7740,Weekly
Atorvastatin,2397,7467,Weekly
Insulin,2621,1855,Monthly
Insulin,7524,7193,Weekly
Atorvastatin,6493,5384,Weekly
Insulin,4262,3548,Quarterly
Lisinopril,1896,3653,Weekly
Atorvastatin,5016,4853,Weekly
Lisinopril,8941,2582,Weekly
Metformin,7288,5243,Monthly
Insulin,8888,10502,Quarterly
Atorvastatin,4905,6223,Weekly
Insulin,3162,6950,Monthly
Metformin,6686,6779,Quarterly
Insulin,6577,5139,Weekly
Lisinopril,1080,5407,Monthly
Metformin,6305,6861,Quarterly
Insulin,6630,2492,Weekly
Metformin,5294,3290,Weekly
Atorvastatin,1974,3188,Quarterly
Metformin,7319,5347,Weekly
Lisinopril,8387,5818,Weekly
Atorvastatin,3471,9122,Quarterly
Insulin,2613,8549,Quarterly
Metformin,8467,3788,Weekly
Lisinopril,6547,3337,Quarterly
Lisinopril,5228,6171,Monthly
Atorvastatin,3771,1706,Weekly
Insulin,9281,5188,Monthly
Insulin,1973,8268,Monthly
Metformin,9593,5683,Quarterly
Atorvastatin,1928,6909,Monthly
Atorvastatin,7698,3130,Monthly
Lisinopril,3065,3234,Monthly
Insulin,2820,1526,Weekly
Metformin,7977,4351,Monthly
Atorvastatin,7898,8386,Quarterly
Metformin,1614,9786,Weekly
Lisinopril,4690,1796,Weekly
Lisinopril,2343,6300,Quarterly
Insulin,1883,8346,Quarterly
Atorvastatin,2174,3673,Weekly
Atorvastatin,4043,10559,Monthly
Insulin,4468,5219,Weekly
Metformin,7975,3476,Monthly
Metformin,4620,10228,Monthly
Lisinopril,7163,10799,Weekly
Metformin,3954,2073,Weekly
Lisinopril,8560,5152,Quarterly
Lisinopril,5572,10579,Weekly
Atorvastatin,6057,6111,Quarterly
Metformin,3927,5856,Quarterly
Metformin,3425,7436,Monthly
Insulin,5878,2565,Quarterly
Metformin,1885,2392,Monthly
Atorvastatin,2533,6812,Weekly
Lisinopril,8396,8660,Quarterly
Atorvastatin,4379,9191,Quarterly
Atorvastatin,8073,5959,Monthly
Atorvastatin,5303,6859,Quarterly
Insulin,1799,10398,Quarterly
Insulin,4862,3299,Weekly
Lisinopril,9194,7008,Monthly
Insulin,8621,9340,Monthly
Metformin,9887,1812,Weekly
Insulin,2119,4418,Quarterly
Atorvastatin,6760,2285,Monthly
Metformin,9488,7834,Monthly
Insulin,4662,7208,Weekly
Atorvastatin,9249,8189,Weekly
Metformin,6480,10566,Quarterly
Atorvastatin,8203,4966,Weekly
Insulin,5193,5761,Monthly
Atorvastatin,7441,7029,Monthly
Lisinopril,6882,6168,Weekly
Metformin,8537,3952,Quarterly
Metformin,5350,4788,Quarterly
Metformin,2157,2828,Weekly
Lisinopril,2867,2057,Quarterly
Lisinopril,7503,9277,Weekly
Metformin,9084,7719,Weekly
Metformin,4304,9505,Weekly
Metformin,9609,9970,Weekly
Metformin,8374,3634,Weekly
Insulin,2566,1720,Monthly
Metformin,3149,10243,Weekly
Atorvastatin,4827,4791,Quarterly
Lisinopril,9660,8981,Weekly
Atorvastatin,5132,6747,Monthly
Insulin,8416,5190,Monthly
Insulin,7968,8386,Quarterly
Atorvastatin,3098,10618,Monthly
Insulin,6150,5601,Weekly
Atorvastatin,7211,10016,Weekly
Metformin,1275,8377,Weekly
Lisinopril,7652,1947,Quarterly
Insulin,7903,5227,Weekly
Metformin,3511,2838,Monthly
Metformin,4828,4284,Quarterly
Insulin,1671,10515,Weekly
Lisinopril,4995,1522,Monthly
Atorvastatin,5987,10744,Monthly
Atorvastatin,7443,3991,Weekly
Insulin,6606,9694,Quarterly
Insulin,4246,3696,Monthly
Metformin,4735,4484,Monthly
Atorvastatin,6600,6030,Quarterly
Insulin,8736,5186,Monthly
Insulin,5897,6179,Weekly
Insulin,8671,5448,Weekly
Metformin,6487,6143,Monthly
Atorvastatin,3289,10160,Monthly
Metformin,1814,8850,Quarterly
Insulin,9962,6196,Monthly
Atorvastatin,4396,10357,Weekly
Lisinopril,5058,10427,Quarterly
Metformin,6707,6055,Monthly
Metformin,9558,2695,Weekly
Lisinopril,6550,6804,Weekly
Atorvastatin,3903,9609,Monthly
Atorvastatin,4441,1563,Quarterly
Metformin,2965,9509,Monthly
Atorvastatin,6018,5603,Weekly
Lisinopril,6188,6155,Weekly
Insulin,6119,10271,Monthly
Lisinopril,8972,8765,Weekly
Atorvastatin,4713,8654,Quarterly
Metformin,4854,10327,Weekly
Insulin,6049,10665,Weekly
Metformin,9715,1580,Weekly
Insulin,5076,10079,Quarterly
Lisinopril,4288,10856,Weekly
Atorvastatin,6712,5284,Weekly
Atorvastatin,6109,10077,Weekly
Lisinopril,3103,2995,Quarterly
Lisinopril,2635,6401,Weekly
Lisinopril,5944,7642,Quarterly
Insulin,8331,5233,Monthly
Insulin,5842,9818,Quarterly
Metformin,9188,7552,Monthly
Insulin,7493,7809,Monthly
Insulin,7785,2724,Quarterly
Insulin,4692,8545,Quarterly
Insulin,1989,9694,Weekly
Atorvastatin,5475,5985,Quarterly
Lisinopril,2613,7289,Monthly
Metformin,8535,9060,Quarterly
Insulin,6599,4284,Monthly
Metformin,2066,10469,Quarterly
Atorvastatin,7005,4896,Quarterly
Lisinopril,5254,9603,Monthly
Metformin,8579,8448,Quarterly
Atorvastatin,2415,6412,Weekly
Insulin,5240,3934,Quarterly
Insulin,1507,2575,Weekly
Metformin,9545,2386,Weekly
Insulin,2056,8019,Quarterly
Metformin,5101,7856,Weekly
Insulin,9264,7042,Monthly
Lisinopril,8133,8886,Monthly
Metformin,8677,9165,Monthly
Lisinopril,6689,4973,Quarterly
Lisinopril,1878,5316,Quarterly
Metformin,3922,6086,Weekly
Metformin,7297,7917,Monthly
Metformin,7427,9753,Quarterly
Insulin,7892,7910,Monthly
Metformin,7027,5384,Quarterly
Lisinopril,1920,3162,Monthly
Lisinopril,1542,9930,Monthly
Atorvastatin,3681,9137,Monthly
Metformin,7894,10935,Quarterly
Insulin,4625,1722,Quarterly
Insulin,4905,5941,Monthly
Insulin,1077,9690,Quarterly
Atorvastatin,8863,4830,Weekly
Metformin,2587,5675,Weekly
Insulin,1779,3683,Monthly
Insulin,7340,5306,Weekly
Atorvastatin,8552,10097,Weekly
Lisinopril,3008,2936,Quarterly
Metformin,4879,3546,Weekly
Atorvastatin,4220,3379,Quarterly
Insulin,5369,2411,Quarterly
Atorvastatin,5216,6918,Monthly
Lisinopril,8469,2648,Monthly
Lisinopril,9239,9627,Monthly
Atorvastatin,6133,7958,Quarterly
Lisinopril,7925,1643,Quarterly
Metformin,7707,10002,Weekly
Atorvastatin,2296,6977,Quarterly
Insulin,4350,6078,Quarterly
Atorvastatin,9413,7741,Quarterly
Atorvastatin,8796,7394,Weekly
Insulin,5727,10152,Quarterly
Lisinopril,3992,4029,Monthly
Insulin,7413,6896,Quarterly
Lisinopril,4669,7185,Monthly
Atorvastatin,4763,2544,Monthly
Metformin,1501,1986,Monthly
Insulin,8190,6725,Weekly
Atorvastatin,2983,8078,Weekly
Insulin,7783,2040,Weekly
Insulin,5516,9844,Weekly
Atorvastatin,7524,2676,Quarterly
Metformin,4320,6306,Weekly
Lisinopril,2553,6137,Monthly
Atorvastatin,8619,5878,Quarterly
Metformin,3507,3994,Monthly
Lisinopril,6325,8876,Monthly
Insulin,8335,1830,Quarterly
Lisinopril,6487,6209,Monthly
Metformin,5248,8702,Weekly
Atorvastatin,4943,5205,Quarterly
Insulin,4409,8200,Monthly
Insulin,5021,5542,Monthly
Insulin,8863,4458,Weekly
Lisinopril,8896,4333,Weekly
Insulin,7186,6144,Monthly
Metformin,3658,10556,Monthly
Atorvastatin,6765,6708,Monthly
Lisinopril,8584,2359,Quarterly
Lisinopril,8810,9617,Quarterly
Metformin,7744,10156,Quarterly
Lisinopril,3097,2456,Weekly
Metformin,9639,8081,Monthly
Metformin,8138,4274,Quarterly
Metformin,6194,10251,Quarterly
Lisinopril,8187,6309,Quarterly
Atorvastatin,1902,5946,Monthly
Metformin,1159,3864,Quarterly
Lisinopril,7361,5470,Weekly
Metformin,4916,4099,Monthly
Metformin,1183,2212,Quarterly
Insulin,5333,10561,Weekly
Metformin,1896,10579,Quarterly
Lisinopril,6767,7670,Weekly
Lisinopril,6453,8541,Quarterly
Metformin,3681,7897,Monthly
Atorvastatin,2293,9004,Weekly
Metformin,6047,4746,Quarterly
Atorvastatin,9049,8461,Monthly
Insulin,9154,5718,Weekly
Metformin,4020,8061,Weekly
Insulin,2546,8754,Quarterly
Insulin,8364,2484,Monthly
Insulin,2089,3121,Quarterly
Lisinopril,1978,10235,Quarterly
Insulin,1112,3594,Weekly
Atorvastatin,1642,2337,Monthly
Metformin,1460,1529,Weekly
Lisinopril,2897,8558,Weekly
Lisinopril,6184,6727,Monthly
Atorvastatin,2933,3470,Weekly
Atorvastatin,7046,8695,Monthly
Insulin,1124,7593,Monthly
Insulin,2023,5739,Quarterly
Insulin,1427,8747,Quarterly
Insulin,7811,6132,Monthly
Insulin,3189,7388,Weekly
Lisinopril,8647,10946,Monthly
Lisinopril,8029,6907,Weekly
Metformin,8274,2707,Quarterly
Insulin,8821,4685,Weekly
Insulin,7141,6401,Quarterly
Atorvastatin,2240,9512,Quarterly
Lisinopril,9797,3068,Quarterly
Metformin,3907,9992,Weekly
Atorvastatin,1397,3365,Quarterly
Atorvastatin,2572,3247,Quarterly
Lisinopril,4789,10613,Quarterly
Insulin,8984,3729,Monthly
Metformin,7051,4809,Monthly
Metformin,6469,7588,Quarterly
Insulin,4222,4762,Monthly
Metformin,5862,8995,Weekly
Atorvastatin,4905,3662,Weekly
Insulin,2769,9010,Weekly
Atorvastatin,6739,5139,Weekly
Insulin,8016,2893,Weekly
Metformin,1013,6035,Weekly
Metformin,2420,2443,Quarterly
Metformin,3806,10761,Quarterly
Metformin,7345,8800,Monthly
Insulin,5159,2651,Weekly
Metformin,8936,8410,Monthly
Insulin,6414,10295,Monthly
Metformin,2280,2040,Quarterly
Atorvastatin,1092,3549,Quarterly
Metformin,3309,10139,Weekly
Atorvastatin,4800,5920,Quarterly
Metformin,9559,7845,Quarterly
Lisinopril,9250,5305,Weekly
Lisinopril,3142,2122,Quarterly
Insulin,1912,3752,Weekly
Insulin,7508,8304,Weekly
Insulin,2198,6427,Weekly
Insulin,5409,3504,Monthly
Insulin,8875,10550,Weekly
Atorvastatin,3550,10212,Quarterly
Atorvastatin,5851,3136,Quarterly
Metformin,7894,2992,Weekly
Metformin,6800,2984,Quarterly
Metformin,3746,10142,Weekly
Metformin,3821,8056,Monthly
Lisinopril,4111,6594,Quarterly
Metformin,1875,5354,Weekly
Insulin,8844,3507,Weekly
Metformin,2949,9440,Quarterly
Insulin,4882,3426,Weekly
Insulin,9359,5087,Weekly
Insulin,6572,6027,Monthly
Atorvastatin,4628,10227,Quarterly
Insulin,5207,9357,Monthly
Lisinopril,4312,7691,Weekly
Insulin,8157,6618,Monthly
Lisinopril,8976,8508,Quarterly
Insulin,2508,7919,Weekly
Atorvastatin,6215,6450,Quarterly
Metformin,3858,4044,Monthly
Metformin,2174,5240,Monthly
Insulin,9324,10040,Monthly
Metformin,1356,1827,Weekly
Metformin,1819,8882,Quarterly
Atorvastatin,7046,4299,Quarterly
Insulin,8210,6329,Monthly
Insulin,4280,7102,Quarterly
Metformin,8206,8321,Quarterly
Atorvastatin,5808,3641,Quarterly
Lisinopril,7079,9054,Quarterly
Insulin,9766,5693,Quarterly
Insulin,2689,2023,Quarterly
Metformin,2743,8829,Monthly
Lisinopril,7900,7889,Monthly
Atorvastatin,6088,3911,Quarterly
Atorvastatin,1587,8773,Monthly
Lisinopril,6705,2931,Monthly
Atorvastatin,7875,2315,Weekly
Insulin,4822,9391,Weekly
Lisinopril,8306,4477,Quarterly
Metformin,9935,8196,Quarterly
Metformin,4990,9803,Weekly
Insulin,1433,6932,Quarterly
Insulin,9920,3657,Quarterly
Metformin,2968,8334,Monthly
Atorvastatin,8290,9481,Quarterly
Insulin,9801,8004,Weekly
Metformin,4009,7255,Weekly
Metformin,3489,9553,Monthly
Atorvastatin,7421,7516,Quarterly
Lisinopril,2358,10481,Quarterly
Insulin,2661,6977,Weekly
Insulin,1910,7199,Quarterly
Metformin,6513,8126,Quarterly
Insulin,3562,1788,Weekly
Insulin,1969,9057,Weekly
Metformin,7682,3391,Weekly
Lisinopril,7785,10416,Weekly
Lisinopril,7995,8765,Weekly
Atorvastatin,6802,2719,Quarterly
Atorvastatin,3651,8597,Monthly
Insulin,8276,5141,Quarterly
Atorvastatin,8205,4639,Monthly
Lisinopril,5996,10936,Weekly
Insulin,7171,8899,Quarterly
Metformin,5631,3889,Monthly
Lisinopril,8288,7128,Weekly
Metformin,2117,1806,Weekly
Insulin,7757,4782,Quarterly
Insulin,9880,6507,Monthly
Lisinopril,2310,4145,Weekly
Insulin,7955,9978,Monthly
Insulin,4638,6585,Weekly
Insulin,4707,4522,Monthly
Metformin,2362,5452,Monthly
Lisinopril,2376,10208,Monthly
Metformin,7425,7342,Monthly
Insulin,4477,2232,Quarterly
Lisinopril,1560,3288,Quarterly
Metformin,9947,10077,Quarterly
Insulin,1568,6299,Monthly
Metformin,3846,1646,Monthly
Metformin,2066,2429,Weekly
Atorvastatin,9081,3191,Quarterly
Metformin,9381,6111,Quarterly
Atorvastatin,2294,7400,Monthly
Atorvastatin,3202,6967,Quarterly
Atorvastatin,8743,4245,Monthly
Atorvastatin,9355,7026,Quarterly
Metformin,1544,2738,Quarterly
Atorvastatin,9830,6412,Quarterly
Insulin,2001,8347,Weekly
Insulin,8539,7234,Monthly
Lisinopril,3872,7640,Quarterly
Metformin,5943,7294,Weekly
Atorvastatin,3662,1713,Weekly
Metformin,1176,9968,Monthly
Insulin,4831,7100,Quarterly
Metformin,2472,9419,Quarterly
Atorvastatin,5116,6811,Quarterly
Lisinopril,5434,4344,Weekly
Lisinopril,8985,7569,Weekly
Insulin,2427,2331,Weekly
Metformin,1502,4462,Monthly
Atorvastatin,1009,6515,Quarterly
Lisinopril,5273,3896,Weekly
Atorvastatin,1155,9293,Weekly
Metformin,4980,2327,Quarterly
Metformin,9467,5097,Quarterly
Atorvastatin,2709,7569,Quarterly
Insulin,3657,6969,Monthly
Insulin,1399,2702,Monthly
Lisinopril,4293,5554,Quarterly
Lisinopril,3975,5088,Weekly
Metformin,8620,2854,Quarterly
Metformin,1132,9424,Quarterly
Metformin,7547,4773,Monthly
Insulin,4500,9784,Weekly
Atorvastatin,8082,3791,Weekly
Metformin,2874,8985,Weekly
Atorvastatin,3704,8628,Quarterly
Metformin,2390,5737,Quarterly
Insulin,1400,3088,Quarterly
Metformin,6279,5354,Weekly
Metformin,6969,5901,Weekly
Insulin,1844,7734,Weekly
Lisinopril,2530,4163,Monthly
